 x, y, z, s
   11.1426210     ,   5.82547283     ,   8.74972534     ,   3.08559632    
   11.1428852     ,   5.80254841     ,   8.73943329     ,   3.11072683    
   11.1431713     ,   5.77964306     ,   8.72904396     ,   3.13587928    
   11.1434774     ,   5.75675821     ,   8.71856117     ,   3.16105318    
   11.1438036     ,   5.73389292     ,   8.70798302     ,   3.18624878    
   11.1441479     ,   5.71104717     ,   8.69731426     ,   3.21146512    
   11.1445103     ,   5.68822193     ,   8.68655491     ,   3.23670197    
   11.1448879     ,   5.66541576     ,   8.67570686     ,   3.26195955    
   11.1452827     ,   5.64263010     ,   8.66477394     ,   3.28723598    
   11.1456909     ,   5.61986303     ,   8.65375328     ,   3.31253290    
   11.1461134     ,   5.59711599     ,   8.64265060     ,   3.33784866    
   11.1465473     ,   5.57438850     ,   8.63146687     ,   3.36318278    
   11.1469936     ,   5.55168009     ,   8.62020111     ,   3.38853598    
   11.1474504     ,   5.52899122     ,   8.60885811     ,   3.41390657    
   11.1479168     ,   5.50632191     ,   8.59743786     ,   3.43929410    
   11.1483917     ,   5.48367167     ,   8.58594322     ,   3.46469879    
   11.1488743     ,   5.46104050     ,   8.57437420     ,   3.49011993    
   11.1493626     ,   5.43842840     ,   8.56273365     ,   3.51555705    
   11.1498585     ,   5.41583538     ,   8.55102253     ,   3.54100990    
   11.1503572     ,   5.39326191     ,   8.53924274     ,   3.56647730    
   11.1508589     ,   5.37070704     ,   8.52739620     ,   3.59195852    
   11.1513643     ,   5.34817123     ,   8.51548481     ,   3.61745381    
   11.1518707     ,   5.32565403     ,   8.50350952     ,   3.64296222    
   11.1523790     ,   5.30315685     ,   8.49147129     ,   3.66848326    
   11.1528845     ,   5.28068018     ,   8.47937012     ,   3.69401550    
   11.1533890     ,   5.25822449     ,   8.46720600     ,   3.71955919    
   11.1538897     ,   5.23579121     ,   8.45497894     ,   3.74511266    
   11.1543856     ,   5.21338129     ,   8.44269085     ,   3.77067518    
   11.1548748     ,   5.19099522     ,   8.43034077     ,   3.79624701    
   11.1553583     ,   5.16863346     ,   8.41792774     ,   3.82182741    
   11.1558323     ,   5.14629841     ,   8.40545464     ,   3.84741402    
   11.1562967     ,   5.12398958     ,   8.39291954     ,   3.87300754    
   11.1567507     ,   5.10170841     ,   8.38032341     ,   3.89860678    
   11.1571913     ,   5.07945538     ,   8.36766624     ,   3.92421150    
   11.1576185     ,   5.05723143     ,   8.35494804     ,   3.94982028    
   11.1580324     ,   5.03503799     ,   8.34217072     ,   3.97543263    
   11.1584282     ,   5.01287556     ,   8.32933331     ,   4.00104761    
   11.1588078     ,   4.99074459     ,   8.31643486     ,   4.02666569    
   11.1591692     ,   4.96864700     ,   8.30347824     ,   4.05228424    
   11.1595097     ,   4.94658279     ,   8.29046154     ,   4.07790422    
   11.1598291     ,   4.92455339     ,   8.27738571     ,   4.10352421    
   11.1601257     ,   4.90255928     ,   8.26425076     ,   4.12914324    
